algorithm,run,max_evaluations,best_score,chunk_size,chunk_overlap,top_k,similarity_threshold,retrieval_metric,embedding_model,max_context_chars,time_seconds
Hill Climbing,1,50,0.7501079035717515,256,48,3,0.4,dot,minilm,512,239.13258171081543
Hill Climbing,2,50,0.7635852922241217,256,16,7,0.4,dot,minilm,512,230.2173297405243
Hill Climbing,3,50,0.7475549204389579,256,16,7,0.2,dot,minilm,512,188.72487807273865
Hill Climbing,4,50,0.7540881545689954,384,64,17,0.8,cosine,minilm,512,210.46456599235535
Hill Climbing,5,50,0.8208244857108891,384,48,19,0.4,dot,minilm,2048,216.3593692779541
Random Search,1,50,0.78987076444187,384,64,5,0.4,cosine,minilm,2048,253.72815871238708
Random Search,2,50,0.775077711788544,384,96,13,0.4,cosine,minilm,2048,228.9448003768921
Random Search,3,50,0.7712277887390155,384,96,3,0.6,cosine,minilm,2048,218.4416630268097
Random Search,4,50,0.771331832856049,384,96,5,0.6,dot,minilm,1024,210.07106971740723
Random Search,5,50,0.7976743392391582,256,96,7,0.2,dot,minilm,2048,198.61301064491272
Simulated Annealing,1,50,0.7654508899370462,256,32,11,0.2,dot,minilm,1024,208.79062151908875
Simulated Annealing,2,50,0.8147230450229148,384,48,13,0.0,cosine,minilm,2048,203.35546946525574
Simulated Annealing,3,50,0.7896718334384952,256,96,19,0.4,dot,minilm,2048,158.9908812046051
Simulated Annealing,4,50,0.7760193722056491,256,32,7,0.4,cosine,minilm,1024,193.78427720069885
Simulated Annealing,5,50,0.8029191771931242,384,128,13,0.2,dot,minilm,2048,203.9075002670288
